0.53,0.04,1.7184
0.08,0.58,1.9744
0.93,0.62,4.7037
0.8,0.89,5.5034
0.89,0.93,6.1744
0.18,0.84,2.7035
0.34,0.14,1.532
0.85,0.65,4.4039
0.9,0.83,5.6306
0.81,0.28,3.0304
0.24,0.23,1.548
0.68,0.16,2.2727
0.25,0.91,3.2266
0.01,0.49,1.7646
0.46,0.52,2.6721
0.3,0.85,3.1402
0.93,0.34,3.6172
0.75,0.18,2.5277
0.66,0.01,1.9274
0.29,0.56,2.3475
0.08,0.95,2.7589
0.79,0.39,3.3473
1,0.21,3.3537
0.02,0.74,2.1156
0.93,0.23,3.1542
0.59,0.24,2.233
0.19,0.09,1.2819
0.33,0.81,3.0408
0.54,0.01,1.7803
1,0.46,4.3451
0.22,0.97,3.2316
0.03,0.27,1.3658
0.2,0.75,2.6751
0.1,0.96,2.8972
0.15,0.5,1.9114
0.09,0.63,2.169
0.47,0.65,3.0875
0.03,0.34,1.5026
0.86,0.9,5.8452
0.99,0.36,3.7538
0.01,0.74,2.1169
0.17,0.22,1.4931
0.08,0.65,2.1002
0.16,0.33,1.5497
0.33,0.63,2.5307
0.71,0.92,5.1676
0.37,0.16,1.7925
0.96,0.98,6.8656
0.32,0.51,2.2166
0.74,0.34,3.0256
0.98,0.52,4.4815
0.4,0.47,2.2923
0.52,0.15,2.0507
0.34,0.09,1.6332
0.34,0.84,3.1665
0.23,0.16,1.5012
0.76,0.14,2.4625
0.1,0.05,1.0875
0.09,0.24,1.5277
0.88,0.11,2.6444
0.47,0.25,2.0884
0.94,0.13,2.9694
0.46,0.64,3.0071
0.19,0.78,2.6327
0.64,0.83,4.3565
0.07,0.08,1.0654
0.63,0.07,2.0422
0.25,0.43,2.1004
0.9,0.72,4.9936
0.45,0.06,1.6745
0.62,1,5.0227
1,0.54,4.6953
0.02,0.51,1.6749
0.14,0.7,2.2293
0.55,0.63,3.2936
0.11,0.07,1.1207
0.7,0.41,2.9767
0.34,0.26,1.8726
0.07,0.97,2.7602
0.89,0.55,4.2118
0.55,0.85,4.032
0.19,0.18,1.4528
0.86,0.28,3.1551
0.22,0.73,2.5993
0.3,0.8,2.9567
0.89,0.65,4.6915
0.75,0.87,4.9704
